,"POUL","1010E","BIRDS IN OUR LIVES",,"01111","DAVIS",,50,1,,,
,"FDST","7000","MASTER'S RESEARCH",,"62941","CANNON",,5,1,,,
,"FDST","7000","MASTER'S RESEARCH",,"82942","ALALI",,5,3,,,
,"MATH","7001","ARITH & PROB SOLV",,"43621","MCCRARY",,30,0,,,
,"EMAT","7010","TCHG MATH ELEM",,"83623","MCCRARY",,30,0,,,
,"CRSS","7300","MASTER'S THESIS",,"46017","Staff",,10,0,,,
,"FDST","7300","MASTER'S THESIS",,"02949","HUNG",,5,0,,,
,"FDST","7300","MASTER'S THESIS",,"72947","ORTEGA",,5,0,,,
,"FDST","7300","MASTER'S THESIS",,"72950","CHEN",,5,0,,,
,"FDST","7300","MASTER'S THESIS",,"92948","CANNON",,5,0,,,
,"FDST","7300","MASTER'S THESIS",,"92951","ALALI",,5,0,,,
,"EMAT","7700","INTERNSHIP MATH ED",,"04748","OVRICK",,5,0,,,
,"CRSS","7990","TEACH PRACTICUM",,"66018","Staff",,10,0,,,
,"ECHD","8000","APPLD PROJ IN C&HDS",,"03719","RUSH",,15,10,,,
,"WFED","8000","TECH FOR ED IN WKPL",,"06197","HILL",,10,4,,,
,"FDST","8050","FOOD PATHOGEN/TOXIN",,"10106","HARRISON",,5,0,,,
,"WFED","8210","T&P WEB INSTR IN WE",,"00338","WOMBLE, MYRA",,10,5,,,
,"WFED","8210","T&P WEB INSTR IN WE",,"90337","WOMBLE",,10,1,,,
,"WFED","8320E","GLOB INNV TECH",,"11806","MATIVO",,15,3,,,
,"CRSS","9000","DOCTORAL RESEARCH",,"03196","HABTESELASSI",,10,1,,,
,"CRSS","9000","DOCTORAL RESEARCH",,"86019","Staff",,10,0,,,
,"FDST","9000","DOCTORAL RESEARCH",,"02952","ORTEGA",,5,0,,,
,"FDST","9000","DOCTORAL RESEARCH",,"02957","ALALI",,5,0,,,
,"FDST","9000","DOCTORAL RESEARCH",,"12958","DOYLE",,5,1,,,
,"FDST","9000","DOCTORAL RESEARCH",,"22953","HUNG",,5,2,,,
,"FDST","9000","DOCTORAL RESEARCH",,"62955","CHEN",,5,0,,,
,"FDST","9000","DOCTORAL RESEARCH",,"82956","CANNON",,5,0,,,
,"WFED","9200","RSH DSN METH WFED",,"70336","ROJEWSKI",,10,6,,,
,"CRSS","9300","DOCT DISSERTATION",,"46020","Staff",,10,0,,,
,"FDST","9300","DOCT DISSERTATION",,"02960","DOYLE",,5,0,,,
,"FDST","9300","DOCT DISSERTATION",,"12961","HUNG",,5,1,,,
,"FDST","9300","DOCT DISSERTATION",,"32959","CHEN",,5,0,,,
,"FDST","9300","DOCT DISSERTATION",,"32962","ALALI",,5,0,,,
,"FDST","9300","DOCT DISSERTATION",,"52963","ORTEGA",,5,0,,,
,"FDST","9300","DOCT DISSERTATION",,"72964","CANNON",,5,0,,,
,"ECHD","9970","EDUC RSRCH IN C&HDS",,"03722","COOPER",,15,10,,,
,"CRSS","9990","TEACH PRACTICUM",,"66021","Staff",,10,0,,,
